Number,Name,Reserved,District,Lok Sabha Constituency
221,Kadayanallur,-,Tenkasi,Tenkasi
222,Tenkasi,-,Tenkasi,Tenkasi
223,Alangulam,-,Tenkasi,Tirunelveli
224,Tirunelveli,-,Tirunelveli,Tirunelveli
225,Ambasamudram,-,Tirunelveli,Tirunelveli
226,Palayamkottai,-,Tirunelveli,Tirunelveli
227,Nanguneri,-,Tirunelveli,Tirunelveli
228,Radhapuram,-,Tirunelveli,Tirunelveli
229,Kanniyakumari,-,Kanniyakumari,Kanniyakumari
230,Nagercoil,-,Kanniyakumari,Kanniyakumari
231,Colachal,-,Kanniyakumari,Kanniyakumari
232,Padmanabhapuram,-,Kanniyakumari,Kanniyakumari
233,Vilavancode,-,Kanniyakumari,Kanniyakumari
234,Killiyoor,-,Kanniyakumari,Kanniyakumari
